Designator,Mid X,Mid Y,Rotation,Layer
B1,236.531671,-111.48934,270.0,top
D1,123.524987,-165.394529,7.0,top
D10,160.292109,-133.996159,4.0,top
D11,158.963236,-114.992558,4.0,top
D12,157.63438,-95.988964,4.0,top
D13,181.029299,-145.624883,2.0,top
D14,180.364463,-126.586489,2.0,top
D15,179.699631,-107.548093,2.0,top
D16,179.034791,-88.509699,2.0,top
D17,200.919567,-148.931973,1.0,top
D18,200.587104,-129.884878,1.0,top
D19,200.254634,-110.837779,1.0,top
D2,121.203375,-146.486527,7.0,top
D20,199.922167,-91.790677,1.0,top
D21,220.531666,-151.589343,0.0,top
D22,220.531666,-132.539341,0.0,top
D23,220.531672,-113.489342,0.0,top
D24,220.531671,-94.43934,0.0,top
D25,209.237576,-171.418965,345.0,top
D26,228.030635,-179.08202,330.0,top
D27,244.157549,-191.368602,315.0,top
D3,118.881763,-127.578524,7.0,top
D4,116.560154,-108.670516,7.0,top
D5,142.576205,-160.032039,6.0,top
D6,140.58494,-141.086399,6.0,top
D7,138.593674,-122.140762,6.0,top
D8,136.602405,-103.195113,6.0,top
D9,161.620964,-152.999751,4.0,top
JST1,243.531672,-108.489342,0.0,top
T1,261.956675,-95.439341,270.0,top
